filename,speaker,title,date,url,,
dcrau001088002,"Hale, Cynthia Lynette","""Love Is Something You Do""",8/15/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001088002.mp3,,
dcrau001089001,"Goodgame, Gordon C.","""The Paradox of Disciplined Freedom""",8/22/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001089001.mp3,,
dcrau001089002,"Goodgame, Gordon C.","""The Paradox of Disciplined Freedom""",8/22/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001089002.mp3,,
dcrau001090001,"Young, Robert T.","""The Word of the Lord""",8/29/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001090001.mp3,,
dcrau001090002,"Young, Robert T.","""The Word of the Lord""",8/29/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001090002.mp3,,
dcrau001091001,"Young, Robert T.","""On Taking Things up Again""",9/5/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001091001.mp3,,
dcrau001091002,"Young, Robert T.","""On Taking Things up Again""",9/5/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001091002.mp3,,
dcrau001093001,"Kammerer, Charlene P.","""Out of the Whirlwind""",9/12/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001093001.mp3,,
dcrau001093002,"Kammerer, Charlene P.","""Out of the Whirlwind""",9/12/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001093002.mp3,,
dcrau001095001,"Young, Robert T.","""How Do We Know the Way of the Lord?""",9/19/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001095001.mp3,,
dcrau001095002,"Young, Robert T.","""How Do We Know the Way of the Lord?""",9/19/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001095002.mp3,,
dcrau001096001,"Reuther, Rosemary","""Religion as Sacred Canopy or Prophetic Hope?""",9/26/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001096001.mp3,,
dcrau001096002,"Reuther, Rosemary","""Religion as Sacred Canopy or Prophetic Hope?""",9/26/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001096002.mp3,,
dcrau001097001,"Young, Robert T.","""In God We Trust""",10/3/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001097001.mp3,,
dcrau001097002,"Young, Robert T.","""In God We Trust""",10/3/82,http://library.duke.edu/digitalcollections/media/mp3/dukechapel/dcrau001097002.mp3,,
